Label (Grouping),AGE BY EDUCATIONAL ATTAINMENT,    Population 18 to 24 years,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree or higher,    Population 25 years and over,        Less than 9th grade,"        9th to 12th grade, no diploma",        High school graduate (includes equivalency),"        Some college, no degree",        Associate's degree,        Bachelor's degree,        Graduate or professional degree,        High school graduate or higher,        Bachelor's degree or higher,    Population 25 to 34 years,        High school graduate or higher,        Bachelor's degree or higher,    Population 35 to 44 years,        High school graduate or higher,        Bachelor's degree or higher,    Population 45 to 64 years,        High school graduate or higher,        Bachelor's degree or higher,    Population 65 years and over,        High school graduate or higher,        Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,    White alone,        High school graduate or higher,        Bachelor's degree or higher,"    White alone, not Hispanic or Latino",        High school graduate or higher,        Bachelor's degree or higher,    Black alone,        High school graduate or higher,        Bachelor's degree or higher,    American Indian or Alaska Native alone,        High school graduate or higher,        Bachelor's degree or higher,    Asian alone,        High school graduate or higher,        Bachelor's degree or higher,    Native Hawaiian and Other Pacific Islander alone,        High school graduate or higher,        Bachelor's degree or higher,    Some other race alone,        High school graduate or higher,        Bachelor's degree or higher,    Two or more races,        High school graduate or higher,        Bachelor's degree or higher,    Hispanic or Latino Origin,        High school graduate or higher,        Bachelor's degree or higher,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,    Less than high school graduate,    High school graduate (includes equivalency),    Some college or associate's degree,    Bachelor's degree or higher,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS),    Population 25 years and over with earnings,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree,        Graduate or professional degree
"Census Tract 9701.03, Carteret County, North Carolina!!Percent Female!!Estimate",,(X),22.20%,60.00%,17.80%,0.00%,(X),0.00%,5.10%,32.60%,30.30%,11.50%,14.30%,6.20%,94.90%,20.50%,(X),100.00%,0.00%,(X),100.00%,31.50%,(X),92.90%,22.80%,(X),95.00%,18.40%,,(X),94.80%,20.70%,(X),94.80%,20.70%,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),100.00%,0.00%,(X),-,-,,71.20%,20.20%,17.90%,0.00%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9701.03, Carteret County, North Carolina!!Percent Female!!Margin of Error",,(X),±37.8,±45.6,±30.6,±49.0,(X),±3.9,±5.2,±11.0,±8.8,±6.6,±7.9,±4.2,±5.2,±9.0,(X),±34.3,±34.3,(X),±29.4,±31.3,(X),±9.7,±12.6,(X),±6.3,±11.7,,(X),±5.3,±8.9,(X),±5.3,±8.9,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),±87.9,±87.9,(X),**,**,,±42.3,±15.0,±9.7,±17.4,,(X),(X),(X),(X),(X),(X)
"Census Tract 9702, Carteret County, North Carolina!!Total!!Estimate",,93,6,11,68,8,979,10,96,254,265,96,147,111,873,258,141,141,73,83,83,21,416,383,79,339,266,85,,942,841,258,926,825,258,33,28,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,16,16,0,,(X),(X),(X),(X),,"34,479",-,"35,938","36,029","54,091",-
"Census Tract 9702, Carteret County, North Carolina!!Total!!Margin of Error",,±70,±9,±10,±65,±16,±178,±13,±45,±111,±120,±48,±50,±85,±179,±102,±103,±103,±80,±30,±30,±19,±120,±117,±37,±114,±114,±37,,±172,±167,±102,±166,±161,±102,±60,±64,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±6,±6,±13,±25,±25,±13,,(X),(X),(X),(X),,"±6,985",**,"±17,982","±4,349","±29,680",**
"Census Tract 9702, Carteret County, North Carolina!!Percent!!Estimate",,(X),6.50%,11.80%,73.10%,8.60%,(X),1.00%,9.80%,25.90%,27.10%,9.80%,15.00%,11.30%,89.20%,26.40%,(X),100.00%,51.80%,(X),100.00%,25.30%,(X),92.10%,19.00%,(X),78.50%,25.10%,,(X),89.30%,27.40%,(X),89.10%,27.90%,(X),84.80%,0.00%,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),100.00%,0.00%,(X),100.00%,0.00%,,9.40%,13.40%,2.80%,33.30%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9702, Carteret County, North Carolina!!Percent!!Margin of Error",,(X),±12.4,±12.5,±25.8,±16.3,(X),±1.4,±4.7,±10.0,±10.6,±5.0,±5.4,±8.0,±5.4,±9.1,(X),±24.3,±39.2,(X),±35.9,±20.2,(X),±5.2,±9.8,(X),±13.0,±10.7,,(X),±4.9,±9.4,(X),±4.9,±9.5,(X),±84.8,±57.3,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),±100.0,±100.0,(X),±82.2,±82.3,,±10.2,±23.0,±3.4,±25.0,,(X),(X),(X),(X),(X),(X)
"Census Tract 9702, Carteret County, North Carolina!!Male!!Estimate",,30,6,6,18,0,429,5,46,130,139,21,76,12,378,88,20,20,0,34,34,6,179,157,33,196,167,49,,429,378,88,429,378,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,(X),(X),(X),(X),,"42,059",-,"55,982","39,167",-,-
"Census Tract 9702, Carteret County, North Carolina!!Male!!Margin of Error",,±30,±9,±9,±28,±13,±89,±9,±26,±65,±71,±16,±37,±12,±85,±39,±17,±17,±13,±21,±21,±9,±64,±63,±20,±66,±63,±29,,±89,±85,±39,±89,±85,±39,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,,(X),(X),(X),(X),,"±25,149",**,"±12,655","±8,214",**,**
"Census Tract 9702, Carteret County, North Carolina!!Percent Male!!Estimate",,(X),20.00%,20.00%,60.00%,0.00%,(X),1.20%,10.70%,30.30%,32.40%,4.90%,17.70%,2.80%,88.10%,20.50%,(X),100.00%,0.00%,(X),100.00%,17.60%,(X),87.70%,18.40%,(X),85.20%,25.00%,,(X),88.10%,20.50%,(X),88.10%,20.50%,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),-,-,,9.80%,0.00%,0.00%,12.50%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9702, Carteret County, North Carolina!!Percent Male!!Margin of Error",,(X),±39.3,±34.4,±53.1,±60.1,(X),±2.2,±6.0,±13.6,±12.9,±3.9,±9.0,±2.8,±6.4,±9.5,(X),±73.6,±73.6,(X),±56.4,±24.5,(X),±8.9,±11.9,(X),±12.4,±15.6,,(X),±6.4,±9.5,(X),±6.4,±9.5,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),**,**,,±16.7,±26.0,±21.9,±13.3,,(X),(X),(X),(X),(X),(X)
"Census Tract 9702, Carteret County, North Carolina!!Female!!Estimate",,63,0,5,50,8,550,5,50,124,126,75,71,99,495,170,121,121,73,49,49,15,237,226,46,143,99,36,,513,463,170,497,447,170,33,28,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,16,16,0,,(X),(X),(X),(X),,"22,969",-,-,"33,542","53,636",-
"Census Tract 9702, Carteret County, North Carolina!!Female!!Margin of Error",,±48,±13,±7,±43,±16,±130,±10,±33,±81,±59,±43,±33,±82,±134,±91,±104,±104,±80,±34,±34,±16,±68,±66,±19,±64,±63,±24,,±122,±119,±91,±118,±114,±91,±60,±64,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±6,±6,±13,±25,±25,±13,,(X),(X),(X),(X),,"±16,599",**,**,"±4,061","±16,303",**
"Census Tract 9702, Carteret County, North Carolina!!Percent Female!!Estimate",,(X),0.00%,7.90%,79.40%,12.70%,(X),0.90%,9.10%,22.50%,22.90%,13.60%,12.90%,18.00%,90.00%,30.90%,(X),100.00%,60.30%,(X),100.00%,30.60%,(X),95.40%,19.40%,(X),69.20%,25.20%,,(X),90.30%,33.10%,(X),89.90%,34.20%,(X),84.80%,0.00%,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),100.00%,0.00%,(X),100.00%,0.00%,,9.10%,27.40%,5.00%,44.10%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9702, Carteret County, North Carolina!!Percent Female!!Margin of Error",,(X),±41.5,±12.9,±26.4,±22.7,(X),±1.8,±6.2,±13.6,±10.8,±7.8,±6.0,±12.6,±7.7,±12.6,(X),±27.5,±45.7,(X),±47.0,±30.0,(X),±5.8,±9.7,(X),±22.7,±14.3,,(X),±6.3,±13.0,(X),±6.5,±13.2,(X),±84.8,±57.3,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),±100.0,±100.0,(X),±82.2,±82.3,,±15.5,±42.3,±6.0,±30.9,,(X),(X),(X),(X),(X),(X)
"Census Tract 9703.01, Carteret County, North Carolina!!Total!!Estimate",,231,51,0,180,0,"3,712",98,460,894,"1,388",150,380,342,"3,154",722,602,521,108,426,347,67,"1,223","1,110",263,"1,461","1,176",284,,"2,748","2,449",612,"2,728","2,429",612,860,630,93,65,36,0,0,0,0,0,0,0,17,17,17,22,22,0,59,59,17,,(X),(X),(X),(X),,"33,149","18,892","33,218","33,657","42,049","44,276"
"Census Tract 9703.01, Carteret County, North Carolina!!Total!!Margin of Error",,±147,±60,±13,±146,±13,±376,±63,±237,±213,±331,±91,±153,±161,±373,±230,±286,±269,±77,±192,±171,±70,±252,±235,±122,±327,±334,±140,,±379,±356,±203,±376,±348,±203,±228,±165,±95,±64,±35,±13,±13,±13,±13,±13,±13,±13,±28,±28,±28,±36,±36,±13,±55,±55,±28,,(X),(X),(X),(X),,"±3,777","±4,631","±5,141","±6,569","±12,651","±42,361"
"Census Tract 9703.01, Carteret County, North Carolina!!Percent!!Estimate",,(X),22.10%,0.00%,77.90%,0.00%,(X),2.60%,12.40%,24.10%,37.40%,4.00%,10.20%,9.20%,85.00%,19.50%,(X),86.50%,17.90%,(X),81.50%,15.70%,(X),90.80%,21.50%,(X),80.50%,19.40%,,(X),89.10%,22.30%,(X),89.00%,22.40%,(X),73.30%,10.80%,(X),55.40%,0.00%,(X),-,-,(X),-,-,(X),100.00%,100.00%,(X),100.00%,0.00%,(X),100.00%,28.80%,,6.60%,4.70%,16.80%,8.90%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9703.01, Carteret County, North Carolina!!Percent!!Margin of Error",,(X),±27.8,±15.8,±27.8,±15.8,(X),±1.7,±6.1,±4.9,±8.5,±2.5,±4.2,±4.2,±6.2,±6.0,(X),±19.2,±14.1,(X),±16.2,±18.2,(X),±7.8,±8.7,(X),±9.6,±8.6,,(X),±7.9,±7.3,(X),±7.9,±7.4,(X),±10.8,±11.3,(X),±8.8,±40.8,(X),**,**,(X),**,**,(X),±79.8,±79.8,(X),±70.1,±70.1,(X),±42.8,±44.4,,±6.1,±5.4,±9.1,±8.4,,(X),(X),(X),(X),(X),(X)
"Census Tract 9703.01, Carteret County, North Carolina!!Male!!Estimate",,211,51,0,160,0,"1,757",50,229,500,594,76,183,125,"1,478",308,338,257,54,149,132,14,585,537,85,685,552,155,,"1,348","1,209",282,"1,348","1,209",282,358,247,26,29,0,0,0,0,0,0,0,0,0,0,0,22,22,0,22,22,0,,(X),(X),(X),(X),,"34,150",-,"34,375","34,335","41,125",-
"Census Tract 9703.01, Carteret County, North Carolina!!Male!!Margin of Error",,±142,±60,±13,±141,±13,±242,±52,±134,±177,±199,±61,±98,±80,±228,±131,±195,±161,±51,±87,±81,±27,±166,±168,±66,±185,±180,±86,,±227,±195,±127,±227,±195,±127,±147,±130,±38,±30,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±36,±36,±13,±36,±36,±13,,(X),(X),(X),(X),,"±4,215",**,"±5,783","±8,142","±35,013",**
"Census Tract 9703.01, Carteret County, North Carolina!!Percent Male!!Estimate",,(X),24.20%,0.00%,75.80%,0.00%,(X),2.80%,13.00%,28.50%,33.80%,4.30%,10.40%,7.10%,84.10%,17.50%,(X),76.00%,16.00%,(X),88.60%,9.40%,(X),91.80%,14.50%,(X),80.60%,22.60%,,(X),89.70%,20.90%,(X),89.70%,20.90%,(X),69.00%,7.30%,(X),0.00%,0.00%,(X),-,-,(X),-,-,(X),-,-,(X),100.00%,0.00%,(X),100.00%,0.00%,,6.10%,0.00%,10.10%,12.30%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9703.01, Carteret County, North Carolina!!Percent Male!!Margin of Error",,(X),±31.1,±17.2,±31.1,±17.2,(X),±2.9,±7.3,±8.6,±11.1,±3.5,±5.6,±4.5,±7.6,±7.4,(X),±31.1,±17.8,(X),±17.6,±19.7,(X),±7.7,±10.8,(X),±12.4,±11.6,,(X),±8.4,±9.3,(X),±8.4,±9.3,(X),±20.9,±10.9,(X),±61.1,±61.1,(X),**,**,(X),**,**,(X),**,**,(X),±70.1,±70.1,(X),±70.1,±70.1,,±10.7,±7.7,±13.4,±13.3,,(X),(X),(X),(X),(X),(X)
"Census Tract 9703.01, Carteret County, North Carolina!!Female!!Estimate",,20,0,0,20,0,"1,955",48,231,394,794,74,197,217,"1,676",414,264,264,54,277,215,53,638,573,178,776,624,129,,"1,400","1,240",330,"1,380","1,220",330,502,383,67,36,36,0,0,0,0,0,0,0,17,17,17,0,0,0,37,37,17,,(X),(X),(X),(X),,"28,585",-,"28,854","24,850","43,365",-
"Census Tract 9703.01, Carteret County, North Carolina!!Female!!Margin of Error",,±31,±13,±13,±31,±13,±263,±51,±135,±179,±253,±56,±99,±103,±250,±139,±141,±141,±50,±144,±115,±54,±149,±136,±95,±217,±217,±73,,±238,±240,±115,±235,±233,±115,±170,±128,±67,±35,±35,±13,±13,±13,±13,±13,±13,±13,±28,±28,±28,±13,±13,±13,±42,±42,±28,,(X),(X),(X),(X),,"±7,211",**,"±6,104","±17,251","±13,359",**
"Census Tract 9703.01, Carteret County, North Carolina!!Percent Female!!Estimate",,(X),0.00%,0.00%,100.00%,0.00%,(X),2.50%,11.80%,20.20%,40.60%,3.80%,10.10%,11.10%,85.70%,21.20%,(X),100.00%,20.50%,(X),77.60%,19.10%,(X),89.80%,27.90%,(X),80.40%,16.60%,,(X),88.60%,23.60%,(X),88.40%,23.90%,(X),76.30%,13.30%,(X),100.00%,0.00%,(X),-,-,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),100.00%,45.90%,,7.20%,10.70%,22.00%,6.30%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9703.01, Carteret County, North Carolina!!Percent Female!!Margin of Error",,(X),±73.6,±73.6,±73.6,±73.6,(X),±2.6,±6.6,±8.7,±10.9,±3.0,±5.3,±5.3,±6.6,±7.3,(X),±14.0,±20.7,(X),±21.4,±21.9,(X),±14.8,±12.7,(X),±10.6,±9.1,,(X),±8.7,±8.3,(X),±8.8,±8.5,(X),±9.6,±15.1,(X),±54.8,±54.8,(X),**,**,(X),**,**,(X),±79.8,±79.8,(X),**,**,(X),±54.1,±54.1,,±11.9,±12.4,±12.7,±10.0,,(X),(X),(X),(X),(X),(X)
"Census Tract 9703.04, Carteret County, North Carolina!!Total!!Estimate",,87,12,63,12,0,"1,715",75,78,377,430,170,335,250,"1,562",585,210,195,118,238,238,45,583,523,157,684,606,265,,"1,534","1,416",549,"1,534","1,416",549,127,92,36,0,0,0,0,0,0,0,0,0,28,28,0,26,26,0,0,0,0,,(X),(X),(X),(X),,"31,946","2,500-","12,788","32,588","36,577","40,417"
"Census Tract 9703.04, Carteret County, North Carolina!!Total!!Margin of Error",,±77,±21,±64,±21,±13,±204,±49,±58,±153,±98,±73,±116,±83,±198,±149,±103,±102,±85,±108,±108,±34,±144,±130,±81,±120,±107,±82,,±193,±191,±148,±193,±191,±148,±67,±47,±31,±13,±13,±13,±13,±13,±13,±13,±13,±13,±28,±28,±13,±25,±25,±13,±13,±13,±13,,(X),(X),(X),(X),,"±4,739",***,"±7,899","±5,687","±13,684","±22,319"
"Census Tract 9703.04, Carteret County, North Carolina!!Percent!!Estimate",,(X),13.80%,72.40%,13.80%,0.00%,(X),4.40%,4.50%,22.00%,25.10%,9.90%,19.50%,14.60%,91.10%,34.10%,(X),92.90%,56.20%,(X),100.00%,18.90%,(X),89.70%,26.90%,(X),88.60%,38.70%,,(X),92.30%,35.80%,(X),92.30%,35.80%,(X),72.40%,28.30%,(X),-,-,(X),-,-,(X),-,-,(X),100.00%,0.00%,(X),100.00%,0.00%,(X),-,-,,35.90%,20.70%,19.50%,8.20%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9703.04, Carteret County, North Carolina!!Percent!!Margin of Error",,(X),±20.7,±30.6,±24.9,±34.9,(X),±2.7,±3.4,±7.8,±5.9,±4.4,±6.2,±4.3,±4.2,±7.2,(X),±10.8,±21.6,(X),±15.4,±16.1,(X),±7.5,±11.3,(X),±6.0,±10.8,,(X),±3.7,±7.8,(X),±3.7,±7.8,(X),±26.1,±30.3,(X),**,**,(X),**,**,(X),**,**,(X),±62.2,±62.2,(X),±64.5,±64.5,(X),**,**,,±20.9,±15.7,±11.5,±7.3,,(X),(X),(X),(X),(X),(X)
"Census Tract 9703.04, Carteret County, North Carolina!!Male!!Estimate",,23,12,11,0,0,639,5,10,151,224,0,167,82,624,249,74,74,56,70,70,8,196,196,47,299,284,138,,586,571,235,586,571,235,25,25,14,0,0,0,0,0,0,0,0,0,28,28,0,0,0,0,0,0,0,,(X),(X),(X),(X),,"42,348",-,-,"42,981","53,333",-
"Census Tract 9703.04, Carteret County, North Carolina!!Male!!Margin of Error",,±27,±21,±17,±13,±13,±132,±9,±16,±70,±85,±13,±74,±42,±134,±85,±63,±63,±55,±67,±67,±14,±75,±75,±40,±72,±72,±59,,±129,±131,±84,±129,±131,±84,±28,±28,±22,±13,±13,±13,±13,±13,±13,±13,±13,±13,±28,±28,±13,±13,±13,±13,±13,±13,±13,,(X),(X),(X),(X),,"±7,564",**,**,"±16,692","±41,965",**
"Census Tract 9703.04, Carteret County, North Carolina!!Percent Male!!Estimate",,(X),52.20%,47.80%,0.00%,0.00%,(X),0.80%,1.60%,23.60%,35.10%,0.00%,26.10%,12.80%,97.70%,39.00%,(X),100.00%,75.70%,(X),100.00%,11.40%,(X),100.00%,24.00%,(X),95.00%,46.20%,,(X),97.40%,40.10%,(X),97.40%,40.10%,(X),100.00%,56.00%,(X),-,-,(X),-,-,(X),-,-,(X),100.00%,0.00%,(X),-,-,(X),-,-,,0.00%,12.60%,25.00%,9.20%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9703.04, Carteret County, North Carolina!!Percent Male!!Margin of Error",,(X),±52.2,±52.2,±68.6,±68.6,(X),±1.4,±2.6,±9.4,±11.2,±6.1,±10.1,±6.0,±2.8,±10.8,(X),±38.2,±32.9,(X),±39.3,±23.9,(X),±18.4,±17.1,(X),±5.9,±16.5,,(X),±3.1,±11.2,(X),±3.1,±11.2,(X),±65.8,±53.5,(X),**,**,(X),**,**,(X),**,**,(X),±62.2,±62.2,(X),**,**,(X),**,**,,±84.9,±14.1,±21.1,±10.2,,(X),(X),(X),(X),(X),(X)
"Census Tract 9703.04, Carteret County, North Carolina!!Female!!Estimate",,64,0,52,12,0,"1,076",70,68,226,206,170,168,168,938,336,136,121,62,168,168,37,387,327,110,385,322,127,,948,845,314,948,845,314,102,67,22,0,0,0,0,0,0,0,0,0,0,0,0,26,26,0,0,0,0,,(X),(X),(X),(X),,"30,017","2,500-",-,"31,737","36,169",-
"Census Tract 9703.04, Carteret County, North Carolina!!Female!!Margin of Error",,±68,±13,±64,±21,±13,±141,±50,±56,±104,±73,±73,±73,±63,±131,±97,±63,±60,±45,±97,±97,±33,±92,±76,±64,±96,±77,±50,,±128,±125,±95,±128,±125,±95,±68,±47,±26,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±25,±25,±13,±13,±13,±13,,(X),(X),(X),(X),,"±22,014",***,**,"±15,810","±8,546",**
"Census Tract 9703.04, Carteret County, North Carolina!!Percent Female!!Estimate",,(X),0.00%,81.30%,18.80%,0.00%,(X),6.50%,6.30%,21.00%,19.10%,15.80%,15.60%,15.60%,87.20%,31.20%,(X),89.00%,45.60%,(X),100.00%,22.00%,(X),84.50%,28.40%,(X),83.60%,33.00%,,(X),89.10%,33.10%,(X),89.10%,33.10%,(X),65.70%,21.60%,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),100.00%,0.00%,(X),-,-,,39.90%,26.10%,16.20%,7.40%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9703.04, Carteret County, North Carolina!!Percent Female!!Margin of Error",,(X),±41.1,±36.3,±36.3,±41.1,(X),±4.3,±5.1,±9.0,±6.6,±6.6,±6.8,±5.4,±6.3,±8.5,(X),±15.9,±22.7,(X),±21.0,±21.9,(X),±11.0,±13.8,(X),±9.3,±12.7,,(X),±5.4,±9.2,(X),±5.4,±9.2,(X),±31.4,±32.6,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),±64.5,±64.5,(X),**,**,,±22.4,±21.6,±10.1,±9.0,,(X),(X),(X),(X),(X),(X)
"Census Tract 9703.05, Carteret County, North Carolina!!Total!!Estimate",,245,35,27,173,10,"1,511",70,56,337,427,173,295,153,"1,385",448,209,201,91,172,160,30,591,534,155,539,490,172,,"1,146","1,061",392,"1,134","1,054",385,292,272,38,7,0,0,0,0,0,0,0,0,14,0,0,52,52,18,35,16,16,,(X),(X),(X),(X),,"33,009",-,"25,250","34,457","36,563","58,077"
"Census Tract 9703.05, Carteret County, North Carolina!!Total!!Margin of Error",,±53,±25,±29,±45,±11,±208,±62,±33,±124,±112,±71,±92,±59,±204,±120,±62,±60,±48,±91,±91,±24,±130,±122,±75,±129,±120,±54,,±171,±166,±101,±171,±166,±102,±114,±110,±35,±15,±13,±13,±13,±13,±13,±13,±13,±13,±21,±13,±13,±32,±32,±18,±29,±17,±17,,(X),(X),(X),(X),,"±11,365",**,"±9,391","±7,451","±21,058","±20,833"
"Census Tract 9703.05, Carteret County, North Carolina!!Percent!!Estimate",,(X),14.30%,11.00%,70.60%,4.10%,(X),4.60%,3.70%,22.30%,28.30%,11.40%,19.50%,10.10%,91.70%,29.60%,(X),96.20%,43.50%,(X),93.00%,17.40%,(X),90.40%,26.20%,(X),90.90%,31.90%,,(X),92.60%,34.20%,(X),92.90%,34.00%,(X),93.20%,13.00%,(X),0.00%,0.00%,(X),-,-,(X),-,-,(X),0.00%,0.00%,(X),100.00%,34.60%,(X),45.70%,45.70%,,18.50%,7.80%,10.90%,5.80%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9703.05, Carteret County, North Carolina!!Percent!!Margin of Error",,(X),±9.2,±11.7,±14.6,±4.6,(X),±4.0,±2.3,±7.3,±6.2,±4.3,±5.8,±3.8,±4.8,±7.4,(X),±6.4,±18.4,(X),±10.9,±15.0,(X),±5.1,±10.2,(X),±10.9,±10.2,,(X),±5.3,±7.8,(X),±5.4,±8.0,(X),±8.7,±11.5,(X),±100.0,±100.0,(X),**,**,(X),**,**,(X),±87.9,±87.9,(X),±45.6,±31.8,(X),±41.8,±41.8,,±17.5,±9.8,±8.9,±5.0,,(X),(X),(X),(X),(X),(X)
"Census Tract 9703.05, Carteret County, North Carolina!!Male!!Estimate",,114,29,11,74,0,675,18,31,150,210,53,139,74,626,213,99,99,48,108,101,3,263,224,56,205,202,106,,513,483,196,508,483,196,119,116,0,7,0,0,0,0,0,0,0,0,9,0,0,27,27,17,23,9,9,,(X),(X),(X),(X),,"35,372",-,-,"36,167","24,219","120,972"
"Census Tract 9703.05, Carteret County, North Carolina!!Male!!Margin of Error",,±56,±26,±16,±49,±13,±123,±15,±26,±82,±81,±29,±52,±34,±127,±65,±39,±39,±33,±71,±72,±4,±78,±78,±33,±62,±62,±44,,±98,±98,±61,±98,±98,±61,±73,±71,±13,±15,±13,±13,±13,±13,±13,±13,±13,±13,±14,±13,±13,±23,±23,±18,±22,±14,±14,,(X),(X),(X),(X),,"±8,859",**,**,"±10,845","±19,693","±100,029"
"Census Tract 9703.05, Carteret County, North Carolina!!Percent Male!!Estimate",,(X),25.40%,9.60%,64.90%,0.00%,(X),2.70%,4.60%,22.20%,31.10%,7.90%,20.60%,11.00%,92.70%,31.60%,(X),100.00%,48.50%,(X),93.50%,2.80%,(X),85.20%,21.30%,(X),98.50%,51.70%,,(X),94.20%,38.20%,(X),95.10%,38.60%,(X),97.50%,0.00%,(X),0.00%,0.00%,(X),-,-,(X),-,-,(X),0.00%,0.00%,(X),100.00%,63.00%,(X),39.10%,39.10%,,21.40%,0.00%,8.80%,4.60%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9703.05, Carteret County, North Carolina!!Percent Male!!Margin of Error",,(X),±20.9,±14.5,±24.4,±28.8,(X),±2.3,±4.0,±10.8,±9.6,±4.6,±7.0,±4.8,±4.5,±8.3,(X),±32.0,±23.9,(X),±15.9,±4.4,(X),±10.1,±10.9,(X),±3.9,±16.8,,(X),±4.1,±9.0,(X),±3.9,±9.2,(X),±6.6,±27.9,(X),±100.0,±100.0,(X),**,**,(X),**,**,(X),±100.0,±100.0,(X),±63.3,±38.4,(X),±46.9,±46.9,,±25.0,±30.4,±10.1,±5.7,,(X),(X),(X),(X),(X),(X)
"Census Tract 9703.05, Carteret County, North Carolina!!Female!!Estimate",,131,6,16,99,10,836,52,25,187,217,120,156,79,759,235,110,102,43,64,59,27,328,310,99,334,288,66,,633,578,196,626,571,189,173,156,38,0,0,0,0,0,0,0,0,0,5,0,0,25,25,1,12,7,7,,(X),(X),(X),(X),,"27,159","6,382","26,350","28,235","41,471","44,375"
"Census Tract 9703.05, Carteret County, North Carolina!!Female!!Margin of Error",,±49,±10,±24,±42,±11,±146,±63,±21,±81,±67,±58,±60,±40,±127,±72,±44,±41,±31,±40,±39,±23,±89,±85,±51,±99,±82,±27,,±117,±105,±59,±118,±105,±59,±81,±73,±35,±13,±13,±13,±13,±13,±13,±13,±13,±13,±8,±13,±13,±21,±21,±2,±13,±11,±11,,(X),(X),(X),(X),,"±8,920","±2,931","±9,115","±11,711","±21,705","±11,239"
"Census Tract 9703.05, Carteret County, North Carolina!!Percent Female!!Estimate",,(X),4.60%,12.20%,75.60%,7.60%,(X),6.20%,3.00%,22.40%,26.00%,14.40%,18.70%,9.40%,90.80%,28.10%,(X),92.70%,39.10%,(X),92.20%,42.20%,(X),94.50%,30.20%,(X),86.20%,19.80%,,(X),91.30%,31.00%,(X),91.20%,30.20%,(X),90.20%,22.00%,(X),-,-,(X),-,-,(X),-,-,(X),0.00%,0.00%,(X),100.00%,4.00%,(X),58.30%,58.30%,,16.90%,12.30%,12.50%,6.80%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9703.05, Carteret County, North Carolina!!Percent Female!!Margin of Error",,(X),±7.2,±17.9,±18.0,±8.1,(X),±7.2,±2.4,±8.7,±7.0,±6.4,±7.4,±4.8,±7.8,±8.7,(X),±11.9,±25.0,(X),±11.8,±28.2,(X),±7.3,±13.2,(X),±16.6,±8.8,,(X),±9.2,±9.2,(X),±9.3,±9.3,(X),±12.6,±19.2,(X),**,**,(X),**,**,(X),**,**,(X),±100.0,±100.0,(X),±65.8,±10.4,(X),±54.6,±54.6,,±26.7,±15.0,±9.5,±6.3,,(X),(X),(X),(X),(X),(X)
"Census Tract 9704.01, Carteret County, North Carolina!!Total!!Estimate",,236,0,58,46,132,"1,142",32,140,330,296,181,144,19,970,163,200,178,28,84,67,25,425,362,48,433,363,62,,"1,033",872,144,"1,027",866,144,79,68,0,0,0,0,15,15,15,0,0,0,0,0,0,15,15,4,6,6,0,,(X),(X),(X),(X),,"29,019","18,382",-,"29,180","47,727","30,804"
